flight_id,delay_min,distance_km,seat_load_factor,dep_hour,arr_hour,cancelled,airline_american,airline_delta,airline_frontier,airline_jetblue,airline_southwest,airline_spirit,airline_united,origin_atl,origin_aus,origin_bos,origin_clt,origin_dal,origin_den,origin_dfw,origin_dtw,origin_ewr,origin_fll,origin_hou,origin_iad,origin_iah,origin_jfk,origin_las,origin_lax,origin_mco,origin_msp,origin_ord,origin_pdx,origin_phl,origin_phx,origin_sea,origin_sfo,origin_slc,origin_smf,destination_aus,destination_bos,destination_bwi,destination_dal,destination_den,destination_dfw,destination_dtw,destination_ewr,destination_hou,destination_iah,destination_jfk,destination_las,destination_lax,destination_lga,destination_mco,destination_msy,destination_ord,destination_phx,destination_rsw,destination_san,destination_sea,destination_sfo
F0001,-0.35714218995746383,0.10606078813097757,0.9424774451640275,-1.2482135986318368,-1.2001377785351917,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
F0002,-1.4339528129447918,-0.9860854369001554,1.5851616235751174,-0.9859838510201064,-1.2001377785351917,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
F0003,0.5760936832982205,0.22221223303827678,0.2997932667529378,-0.4615243557966455,-0.4140213297130137,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0004,-0.17767375279290912,-1.2409733298911731,-0.5791718596034057,-0.19929460818491512,-0.4140213297130137,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
F0005,-0.7160790642865732,0.6303555047264255,1.3772343893832952,0.5873946346502761,0.6341339353832235,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
F0006,2.1374690866298462,0.5787326403231815,-0.18221986705537915,-1.5104433462435671,-1.2001377785351917,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
F0007,2.1374690866298462,-0.3069221270949753,-1.3825270826172682,0.32516488703854574,0.3720951191091642,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0008,-0.14178006535999818,-0.33757320283440145,-0.7587453800417989,1.3740838774854676,1.158211567931342,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
F0009,-1.2185906883473263,-0.9699532917741416,0.630586593876293,-1.2482135986318368,-1.4621765948092509,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
F0010,-0.5007169396891076,0.4190244035756449,-0.04045129828822695,-0.723754103408376,-0.9380989622611323,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
